file_name,source_frame,dataset,censoring_rate,num_rows,num_units,event_rate,censoring_rate_observed,duration_min,duration_median,duration_max,source_type,anonymized,notes
azure_0p0_mini_survival_frame.csv,azure_0_frame.npz,azure,0.0,300,100,0.85,0.15,3.0,751.5,8216.0,processed_frame_subset,True,"Deterministic seed=0 subset extracted from processed survival frames; horizon grid defaulted to [24, 72, 168, 336]."
scania_0p0_mini_survival_frame.csv,scania_0_frame.npz,scania,0.0,300,300,0.08666666666666667,0.9133333333333333,0.20000000298023224,77.5,452.79998779296875,processed_frame_subset,True,"Deterministic seed=0 subset extracted from processed survival frames; horizon grid defaulted to [24, 72, 168, 336]. Scania used a lightweight fallback for sequence summaries to keep extraction feasible on the large processed frame."
cmapss_fd001_0p0_mini_survival_frame.csv,cmapss_fd001_0_frame.npz,cmapss_fd001,0.0,300,200,1.0,0.0,2.0,116.5,327.0,processed_frame_subset,True,"Deterministic seed=0 subset extracted from processed survival frames; horizon grid defaulted to [24, 72, 168, 336]."
cmapss_fd001_0p3_mini_survival_frame.csv,cmapss_fd001_0p3_frame.npz,cmapss_fd001,0.3,300,200,0.74,0.26,1.0,101.0,342.0,processed_frame_subset,True,"Deterministic seed=0 subset extracted from processed survival frames; horizon grid defaulted to [24, 72, 168, 336]."
cmapss_fd002_0p0_mini_survival_frame.csv,cmapss_fd002_0_frame.npz,cmapss_fd002,0.0,300,300,1.0,0.0,3.0,113.5,320.0,processed_frame_subset,True,"Deterministic seed=0 subset extracted from processed survival frames; horizon grid defaulted to [24, 72, 168, 336]."
cmapss_fd002_0p3_mini_survival_frame.csv,cmapss_fd002_0p3_frame.npz,cmapss_fd002,0.3,300,300,0.82,0.18,1.0,102.0,353.0,processed_frame_subset,True,"Deterministic seed=0 subset extracted from processed survival frames; horizon grid defaulted to [24, 72, 168, 336]."
cmapss_fd003_0p0_mini_survival_frame.csv,cmapss_fd003_0_frame.npz,cmapss_fd003,0.0,300,200,1.0,0.0,5.0,133.0,466.0,processed_frame_subset,True,"Deterministic seed=0 subset extracted from processed survival frames; horizon grid defaulted to [24, 72, 168, 336]."
cmapss_fd003_0p3_mini_survival_frame.csv,cmapss_fd003_0p3_frame.npz,cmapss_fd003,0.3,300,200,0.76,0.24,1.0,115.0,466.0,processed_frame_subset,True,"Deterministic seed=0 subset extracted from processed survival frames; horizon grid defaulted to [24, 72, 168, 336]."
cmapss_fd004_0p0_mini_survival_frame.csv,cmapss_fd004_0_frame.npz,cmapss_fd004,0.0,300,300,1.0,0.0,1.0,132.0,451.0,processed_frame_subset,True,"Deterministic seed=0 subset extracted from processed survival frames; horizon grid defaulted to [24, 72, 168, 336]."
cmapss_fd004_0p3_mini_survival_frame.csv,cmapss_fd004_0p3_frame.npz,cmapss_fd004,0.3,300,300,0.7866666666666666,0.21333333333333335,1.0,120.5,486.0,processed_frame_subset,True,"Deterministic seed=0 subset extracted from processed survival frames; horizon grid defaulted to [24, 72, 168, 336]."
