sample_id,dataset,censoring_rate,unit_id,anchor_time,duration,event,event_type,horizon_1,horizon_2,horizon_3,horizon_4,static_feature_1,static_feature_2,seq_feature_mean_1,seq_feature_std_1,seq_feature_last_1,missing_rate,padding_rate,source_frame
sample_0001,cmapss_fd003,0.3,unit_0001,25,167,1,1,24,72,168,336,0,0,-0.000185,0.001593,-0.0016,0,0,cmapss_fd003_0p3_frame.npz
sample_0002,cmapss_fd003,0.3,unit_0002,70,161,1,1,24,72,168,336,0,0,0.000075,0.002125,-0.0024,0,0,cmapss_fd003_0p3_frame.npz
sample_0003,cmapss_fd003,0.3,unit_0003,145,45,1,1,24,72,168,336,0,0,-0.000265,0.00236,0.0055,0,0,cmapss_fd003_0p3_frame.npz
sample_0004,cmapss_fd003,0.3,unit_0004,170,37,1,1,24,72,168,336,0,0,0.000005,0.002388,0.0007,0,0,cmapss_fd003_0p3_frame.npz
sample_0005,cmapss_fd003,0.3,unit_0005,145,116,1,1,24,72,168,336,0,0,0.00063,0.002407,0.0003,0,0,cmapss_fd003_0p3_frame.npz
sample_0006,cmapss_fd003,0.3,unit_0006,50,211,0,0,24,72,168,336,0,0,-0.00048,0.002093,-0.0031,0,0,cmapss_fd003_0p3_frame.npz
sample_0007,cmapss_fd003,0.3,unit_0007,30,229,1,1,24,72,168,336,0,0,0.00064,0.002326,0.0041,0,0,cmapss_fd003_0p3_frame.npz
sample_0008,cmapss_fd003,0.3,unit_0008,70,118,1,1,24,72,168,336,0,0,0.000025,0.002174,0.001,0,0,cmapss_fd003_0p3_frame.npz
sample_0009,cmapss_fd003,0.3,unit_0009,115,253,0,0,24,72,168,336,0,0,0.000085,0.001573,-0.0026,0,0,cmapss_fd003_0p3_frame.npz
sample_0010,cmapss_fd003,0.3,unit_0010,95,281,1,1,24,72,168,336,0,0,0.00017,0.002154,0.0025,0,0,cmapss_fd003_0p3_frame.npz
sample_0011,cmapss_fd003,0.3,unit_0011,170,30,0,0,24,72,168,336,0,0,-0.000335,0.002028,0.002,0,0,cmapss_fd003_0p3_frame.npz
sample_0012,cmapss_fd003,0.3,unit_0012,50,116,1,1,24,72,168,336,0,0,0.000315,0.002222,-0.0005,0,0,cmapss_fd003_0p3_frame.npz
sample_0013,cmapss_fd003,0.3,unit_0013,20,132,0,0,24,72,168,336,0,0,0.000525,0.002334,-0.0013,0,0,cmapss_fd003_0p3_frame.npz
sample_0014,cmapss_fd003,0.3,unit_0014,165,55,1,1,24,72,168,336,0,0,-0.00008,0.001642,0.0007,0,0,cmapss_fd003_0p3_frame.npz
