sample_id,dataset,censoring_rate,unit_id,anchor_time,duration,event,event_type,horizon_1,horizon_2,horizon_3,horizon_4,static_feature_1,static_feature_2,seq_feature_mean_1,seq_feature_std_1,seq_feature_last_1,missing_rate,padding_rate,source_frame
sample_0001,cmapss_fd002,0.3,unit_0001,60,110,1,1,24,72,168,336,0,0,24.5032,14.08051,42.002399,0,0,cmapss_fd002_0p3_frame.npz
sample_0002,cmapss_fd002,0.3,unit_0002,95,108,1,1,24,72,168,336,0,0,25.603365,13.83328,35.0075,0,0,cmapss_fd002_0p3_frame.npz
sample_0003,cmapss_fd002,0.3,unit_0003,145,69,1,1,24,72,168,336,0,0,20.552685,14.868776,0.0006,0,0,cmapss_fd002_0p3_frame.npz
sample_0004,cmapss_fd002,0.3,unit_0004,145,113,1,1,24,72,168,336,0,0,20.95244,16.725335,9.9994,0,0,cmapss_fd002_0p3_frame.npz
sample_0005,cmapss_fd002,0.3,unit_0005,190,103,0,0,24,72,168,336,0,0,20.30335,14.834388,20.0075,0,0,cmapss_fd002_0p3_frame.npz
sample_0006,cmapss_fd002,0.3,unit_0006,155,6,1,1,24,72,168,336,0,0,21.0527,16.889988,41.999599,0,0,cmapss_fd002_0p3_frame.npz
sample_0007,cmapss_fd002,0.3,unit_0007,40,151,1,1,24,72,168,336,0,0,26.852695,13.675306,42.000599,0,0,cmapss_fd002_0p3_frame.npz
sample_0008,cmapss_fd002,0.3,unit_0008,135,106,1,1,24,72,168,336,0,0,19.903365,15.061048,20.006201,0,0,cmapss_fd002_0p3_frame.npz
sample_0009,cmapss_fd002,0.3,unit_0009,75,134,1,1,24,72,168,336,0,0,26.25331,13.065452,0.002,0,0,cmapss_fd002_0p3_frame.npz
sample_0010,cmapss_fd002,0.3,unit_0010,85,82,1,1,24,72,168,336,0,0,19.20318,11.630788,25,0,0,cmapss_fd002_0p3_frame.npz
sample_0011,cmapss_fd002,0.3,unit_0011,200,5,1,1,24,72,168,336,0,0,23.15349,13.15801,20.002399,0,0,cmapss_fd002_0p3_frame.npz
