sample_id,dataset,censoring_rate,unit_id,anchor_time,duration,event,event_type,horizon_1,horizon_2,horizon_3,horizon_4,static_feature_1,static_feature_2,seq_feature_mean_1,seq_feature_std_1,seq_feature_last_1,missing_rate,padding_rate,source_frame
sample_0001,cmapss_fd002,0,unit_0001,105,122,1,1,24,72,168,336,0,0,25.602535,14.624196,42.002602,0,0,cmapss_fd002_0_frame.npz
sample_0002,cmapss_fd002,0,unit_0002,140,118,1,1,24,72,168,336,0,0,19.45257,17.757908,10.005,0,0,cmapss_fd002_0_frame.npz
sample_0003,cmapss_fd002,0,unit_0003,145,69,1,1,24,72,168,336,0,0,20.552685,14.868776,0.0006,0,0,cmapss_fd002_0_frame.npz
sample_0004,cmapss_fd002,0,unit_0004,65,207,1,1,24,72,168,336,0,0,31.05295,11.628371,34.999298,0,0,cmapss_fd002_0_frame.npz
sample_0005,cmapss_fd002,0,unit_0005,160,34,1,1,24,72,168,336,0,0,26.252355,13.627306,25.0014,0,0,cmapss_fd002_0_frame.npz
sample_0006,cmapss_fd002,0,unit_0006,115,124,1,1,24,72,168,336,0,0,26.30248,11.528719,42.004002,0,0,cmapss_fd002_0_frame.npz
sample_0007,cmapss_fd002,0,unit_0007,205,53,1,1,24,72,168,336,0,0,22.102155,15.437247,19.9986,0,0,cmapss_fd002_0_frame.npz
sample_0008,cmapss_fd002,0,unit_0008,135,55,1,1,24,72,168,336,0,0,20.552165,15.685608,41.999001,0,0,cmapss_fd002_0_frame.npz
sample_0009,cmapss_fd002,0,unit_0009,170,25,1,1,24,72,168,336,0,0,24.10199,14.777801,10.0069,0,0,cmapss_fd002_0_frame.npz
sample_0010,cmapss_fd002,0,unit_0010,40,266,1,1,24,72,168,336,0,0,24.352905,16.659321,10.0048,0,0,cmapss_fd002_0_frame.npz
sample_0011,cmapss_fd002,0,unit_0011,35,190,1,1,24,72,168,336,0,0,22.15351,12.587663,10.0034,0,0,cmapss_fd002_0_frame.npz
sample_0012,cmapss_fd002,0,unit_0012,170,42,1,1,24,72,168,336,0,0,26.502595,12.796912,42.002998,0,0,cmapss_fd002_0_frame.npz
sample_0013,cmapss_fd002,0,unit_0013,80,171,1,1,24,72,168,336,0,0,22.30247,12.838315,25.006701,0,0,cmapss_fd002_0_frame.npz
sample_0014,cmapss_fd002,0,unit_0014,140,34,1,1,24,72,168,336,0,0,19.851815,13.339046,20.0047,0,0,cmapss_fd002_0_frame.npz
sample_0015,cmapss_fd002,0,unit_0015,55,120,1,1,24,72,168,336,0,0,24.402265,12.245683,25.003401,0,0,cmapss_fd002_0_frame.npz
sample_0016,cmapss_fd002,0,unit_0016,100,128,1,1,24,72,168,336,0,0,27.75235,11.166067,35.000099,0,0,cmapss_fd002_0_frame.npz
sample_0017,cmapss_fd002,0,unit_0017,90,120,1,1,24,72,168,336,0,0,24.75284,12.832028,35.002701,0,0,cmapss_fd002_0_frame.npz
sample_0018,cmapss_fd002,0,unit_0018,20,173,1,1,24,72,168,336,0,0,27.5528,13.97642,20.001101,0,0,cmapss_fd002_0_frame.npz
sample_0019,cmapss_fd002,0,unit_0019,155,64,1,1,24,72,168,336,0,0,26.753125,12.007278,0.002,0,0,cmapss_fd002_0_frame.npz
sample_0020,cmapss_fd002,0,unit_0020,155,75,1,1,24,72,168,336,0,0,25.602885,16.624097,35.004902,0,0,cmapss_fd002_0_frame.npz
sample_0021,cmapss_fd002,0,unit_0021,105,116,1,1,24,72,168,336,0,0,22.503075,13.955223,10.0077,0,0,cmapss_fd002_0_frame.npz
sample_0022,cmapss_fd002,0,unit_0022,65,136,1,1,24,72,168,336,0,0,22.503255,14.823904,20.0005,0,0,cmapss_fd002_0_frame.npz
sample_0023,cmapss_fd002,0,unit_0023,180,20,1,1,24,72,168,336,0,0,19.152335,15.40664,10.0002,0,0,cmapss_fd002_0_frame.npz
sample_0024,cmapss_fd002,0,unit_0024,170,32,1,1,24,72,168,336,0,0,22.403985,16.311747,0.0012,0,0,cmapss_fd002_0_frame.npz
sample_0025,cmapss_fd002,0,unit_0025,25,134,1,1,24,72,168,336,0,0,23.802725,12.374793,41.998798,0,0,cmapss_fd002_0_frame.npz
sample_0026,cmapss_fd002,0,unit_0026,145,58,1,1,24,72,168,336,0,0,22.75276,14.307301,24.9993,0,0,cmapss_fd002_0_frame.npz
sample_0027,cmapss_fd002,0,unit_0027,115,45,1,1,24,72,168,336,0,0,25.60113,13.650338,10.0014,0,0,cmapss_fd002_0_frame.npz
sample_0028,cmapss_fd002,0,unit_0028,145,137,1,1,24,72,168,336,0,0,22.55293,13.869797,35.002998,0,0,cmapss_fd002_0_frame.npz
sample_0029,cmapss_fd002,0,unit_0029,205,139,1,1,24,72,168,336,0,0,22.003305,15.476523,42.007198,0,0,cmapss_fd002_0_frame.npz
sample_0030,cmapss_fd002,0,unit_0030,65,94,1,1,24,72,168,336,0,0,27.75359,14.043478,20.007401,0,0,cmapss_fd002_0_frame.npz
sample_0031,cmapss_fd002,0,unit_0031,160,17,1,1,24,72,168,336,0,0,18.30274,14.307683,20.003799,0,0,cmapss_fd002_0_frame.npz
sample_0032,cmapss_fd002,0,unit_0032,160,38,1,1,24,72,168,336,0,0,20.852625,16.224082,42.004101,0,0,cmapss_fd002_0_frame.npz
sample_0033,cmapss_fd002,0,unit_0033,25,251,1,1,24,72,168,336,0,0,27.352405,12.841608,20.0049,0,0,cmapss_fd002_0_frame.npz
sample_0034,cmapss_fd002,0,unit_0034,35,242,1,1,24,72,168,336,0,0,24.003535,15.811582,0.0008,0,0,cmapss_fd002_0_frame.npz
sample_0035,cmapss_fd002,0,unit_0035,155,14,1,1,24,72,168,336,0,0,30.052685,14.189191,25.0077,0,0,cmapss_fd002_0_frame.npz
sample_0036,cmapss_fd002,0,unit_0036,135,21,1,1,24,72,168,336,0,0,29.653025,13.997549,42.000301,0,0,cmapss_fd002_0_frame.npz
sample_0037,cmapss_fd002,0,unit_0037,30,185,1,1,24,72,168,336,0,0,27.502915,13.592852,35.0042,0,0,cmapss_fd002_0_frame.npz
sample_0038,cmapss_fd002,0,unit_0038,85,218,1,1,24,72,168,336,0,0,22.80229,12.738451,25,0,0,cmapss_fd002_0_frame.npz
