sample_id,dataset,censoring_rate,unit_id,anchor_time,duration,event,event_type,horizon_1,horizon_2,horizon_3,horizon_4,static_feature_1,static_feature_2,seq_feature_mean_1,seq_feature_std_1,seq_feature_last_1,missing_rate,padding_rate,source_frame
sample_0001,cmapss_fd003,0,unit_0001,120,135,1,1,24,72,168,336,0,0,0.00013,0.002083,0.0032,0,0,cmapss_fd003_0_frame.npz
sample_0002,cmapss_fd003,0,unit_0002,110,143,1,1,24,72,168,336,0,0,0.00064,0.002979,0.0005,0,0,cmapss_fd003_0_frame.npz
sample_0003,cmapss_fd003,0,unit_0003,170,96,1,1,24,72,168,336,0,0,0.00003,0.002657,0.0024,0,0,cmapss_fd003_0_frame.npz
sample_0004,cmapss_fd003,0,unit_0004,290,157,1,1,24,72,168,336,0,0,-0.00031,0.001979,0.0007,0,0,cmapss_fd003_0_frame.npz
sample_0005,cmapss_fd003,0,unit_0005,120,220,1,1,24,72,168,336,0,0,0.000725,0.001891,0.0012,0,0,cmapss_fd003_0_frame.npz
sample_0006,cmapss_fd003,0,unit_0006,75,392,1,1,24,72,168,336,0,0,0.000315,0.00231,0.0049,0,0,cmapss_fd003_0_frame.npz
sample_0007,cmapss_fd003,0,unit_0007,185,46,1,1,24,72,168,336,0,0,0.00049,0.002478,-0.0022,0,0,cmapss_fd003_0_frame.npz
sample_0008,cmapss_fd003,0,unit_0008,120,137,1,1,24,72,168,336,0,0,0.00028,0.002508,0.0055,0,0,cmapss_fd003_0_frame.npz
sample_0009,cmapss_fd003,0,unit_0009,30,172,1,1,24,72,168,336,0,0,-0.000285,0.002532,-0.0028,0,0,cmapss_fd003_0_frame.npz
sample_0010,cmapss_fd003,0,unit_0010,70,150,1,1,24,72,168,336,0,0,0.00088,0.001758,-0.0001,0,0,cmapss_fd003_0_frame.npz
sample_0011,cmapss_fd003,0,unit_0011,240,136,1,1,24,72,168,336,0,0,0.000205,0.002341,-0.0026,0,0,cmapss_fd003_0_frame.npz
sample_0012,cmapss_fd003,0,unit_0012,140,26,1,1,24,72,168,336,0,0,0.000295,0.002013,0.0003,0,0,cmapss_fd003_0_frame.npz
sample_0013,cmapss_fd003,0,unit_0013,125,213,1,1,24,72,168,336,0,0,-0.00053,0.002082,-0.0028,0,0,cmapss_fd003_0_frame.npz
sample_0014,cmapss_fd003,0,unit_0014,20,220,1,1,24,72,168,336,0,0,0.000635,0.002178,-0.0001,0,0,cmapss_fd003_0_frame.npz
sample_0015,cmapss_fd003,0,unit_0015,135,189,1,1,24,72,168,336,0,0,0.00046,0.002197,-0.0004,0,0,cmapss_fd003_0_frame.npz
sample_0016,cmapss_fd003,0,unit_0016,190,17,1,1,24,72,168,336,0,0,0.000005,0.001928,-0.001,0,0,cmapss_fd003_0_frame.npz
sample_0017,cmapss_fd003,0,unit_0017,115,65,1,1,24,72,168,336,0,0,-0.000375,0.001878,0.001,0,0,cmapss_fd003_0_frame.npz
sample_0018,cmapss_fd003,0,unit_0018,125,56,1,1,24,72,168,336,0,0,-0.00022,0.00226,0.0007,0,0,cmapss_fd003_0_frame.npz
sample_0019,cmapss_fd003,0,unit_0019,45,154,1,1,24,72,168,336,0,0,0.000735,0.001641,0.0015,0,0,cmapss_fd003_0_frame.npz
sample_0020,cmapss_fd003,0,unit_0020,60,283,1,1,24,72,168,336,0,0,-0.000685,0.002423,-0.0044,0,0,cmapss_fd003_0_frame.npz
sample_0021,cmapss_fd003,0,unit_0021,70,242,1,1,24,72,168,336,0,0,0.000265,0.002547,0.0069,0,0,cmapss_fd003_0_frame.npz
sample_0022,cmapss_fd003,0,unit_0022,50,181,1,1,24,72,168,336,0,0,-0.00003,0.002103,-0.0023,0,0,cmapss_fd003_0_frame.npz
sample_0023,cmapss_fd003,0,unit_0023,200,21,1,1,24,72,168,336,0,0,0.00021,0.002104,0.0012,0,0,cmapss_fd003_0_frame.npz
sample_0024,cmapss_fd003,0,unit_0024,25,133,1,1,24,72,168,336,0,0,-0.00043,0.002141,0,0,0,cmapss_fd003_0_frame.npz
sample_0025,cmapss_fd003,0,unit_0025,165,50,1,1,24,72,168,336,0,0,-0.000885,0.002033,-0.0008,0,0,cmapss_fd003_0_frame.npz
sample_0026,cmapss_fd003,0,unit_0026,170,19,1,1,24,72,168,336,0,0,-0.000245,0.00252,0.0023,0,0,cmapss_fd003_0_frame.npz
sample_0027,cmapss_fd003,0,unit_0027,30,242,1,1,24,72,168,336,0,0,-0.00033,0.002107,0.001,0,0,cmapss_fd003_0_frame.npz
sample_0028,cmapss_fd003,0,unit_0028,100,180,1,1,24,72,168,336,0,0,-0,0.002568,0.0014,0,0,cmapss_fd003_0_frame.npz
sample_0029,cmapss_fd003,0,unit_0029,135,336,1,1,24,72,168,336,0,0,-0.000835,0.00154,-0.0011,0,0,cmapss_fd003_0_frame.npz
sample_0030,cmapss_fd003,0,unit_0030,60,133,1,1,24,72,168,336,0,0,-0.000145,0.001874,-0.0003,0,0,cmapss_fd003_0_frame.npz
sample_0031,cmapss_fd003,0,unit_0031,50,359,1,1,24,72,168,336,0,0,0.00036,0.002493,0.0001,0,0,cmapss_fd003_0_frame.npz
sample_0032,cmapss_fd003,0,unit_0032,185,103,1,1,24,72,168,336,0,0,-0.000535,0.002503,0.002,0,0,cmapss_fd003_0_frame.npz
sample_0033,cmapss_fd003,0,unit_0033,20,167,1,1,24,72,168,336,0,0,0.000075,0.002145,-0.0013,0,0,cmapss_fd003_0_frame.npz
sample_0034,cmapss_fd003,0,unit_0034,80,241,1,1,24,72,168,336,0,0,0,0.002053,0.0014,0,0,cmapss_fd003_0_frame.npz
sample_0035,cmapss_fd003,0,unit_0035,50,143,1,1,24,72,168,336,0,0,0.000125,0.00196,0.0019,0,0,cmapss_fd003_0_frame.npz
sample_0036,cmapss_fd003,0,unit_0036,105,124,1,1,24,72,168,336,0,0,0.00103,0.001641,-0.0007,0,0,cmapss_fd003_0_frame.npz
sample_0037,cmapss_fd003,0,unit_0037,85,398,1,1,24,72,168,336,0,0,-0.00056,0.002352,-0.0017,0,0,cmapss_fd003_0_frame.npz
sample_0038,cmapss_fd003,0,unit_0038,210,182,1,1,24,72,168,336,0,0,0.000505,0.002406,-0.0013,0,0,cmapss_fd003_0_frame.npz
sample_0039,cmapss_fd003,0,unit_0039,40,451,1,1,24,72,168,336,0,0,-0.00081,0.001898,-0.0014,0,0,cmapss_fd003_0_frame.npz
